stadium_name_key,stadium_name,city,state
beira_rio,Beira-Rio,Porto Alegre,RS
morumbi,Morumbi,São Paulo,SP
maracana,Maracanã,Rio de Janeiro,RJ
arena_do_gremio,Arena do Grêmio,Porto Alegre,RS
allianz_parque,Allianz Parque,São Paulo,SP
arena_mrv,Arena MRV,Belo Horizonte,MG
estadio_joaquim_americo_guimaraes,Arena da Baixada,Curitiba,PR
estadio_de_pituacu,Estádio de Pituaçu,Salvador,BA
mineirao,Mineirão,Belo Horizonte,MG
adelmar_da_costa_carvalho,Ilha do Retiro,Recife,PE
arena_fonte_nova,Arena Fonte Nova,Salvador,BA
estadio_urbano_caldeira,Vila Belmiro,Santos,SP
nabizao,Nabizão,Bragança Paulista,SP
morumbis,Morumbi,São Paulo,SP
estadio_municipal_cicero_de_souza_marques,Estádio Municipal Cícero de Souza Marques,Bragança Paulista,SP
estadio_presidente_vargas,Estádio Presidente Vargas,Fortaleza,CE
neo_quimica_arena,Neo Química Arena,São Paulo,SP
alfredo_jaconi,Alfredo Jaconi,Caxias do Sul,RS
arena_castelao,Arena Castelão,Fortaleza,CE
estadio_sao_januario,Estádio São Januário,Rio de Janeiro,RJ
arena_conda,Arena Condá,Chapecó,SC
estadio_jose_pinheiro_borda,Beira-Rio,Porto Alegre,RS
estadio_beira_rio,Beira-Rio,Porto Alegre,RS
arena_barueri,Arena Barueri,Barueri,SP
estadio_municipal_general_raulino_de_oliveira,Raulino de Oliveira,Volta Redonda,RJ
raulino_de_oliveira,Raulino de Oliveira,Volta Redonda,RJ
estadio_nilton_santos,Estádio Nilton Santos,Rio de Janeiro,RJ
engenhao,Estádio Nilton Santos,Rio de Janeiro,RJ
olimpico_engenhao,Estádio Nilton Santos,Rio de Janeiro,RJ
estadio_da_serrinha,Estádio Hailé Pinheiro,Goiânia,GO
estadio_haile_pinheiro_serrinha,Estádio Hailé Pinheiro,Goiânia,GO
itaipava_arena_fonte_nova,Arena Fonte Nova,Salvador,BA
fonte_nova,Arena Fonte Nova,Salvador,BA
couto_pereira,Couto Pereira,Curitiba,PR
mane_garrincha,Mané Garrincha,Brasília,DF
arena_brb_mane_garrincha,Mané Garrincha,Brasília,DF
estadio_nacional_de_brasilia,Mané Garrincha,Brasília,DF
arena_de_pernambuco,Arena de Pernambuco,São Lourenço da Mata,PE
arena_pernambuco,Arena de Pernambuco,São Lourenço da Mata,PE
estadio_parque_do_sabia,Parque do Sabiá,Uberlândia,MG
estadio_municipal_parque_do_sabia,Parque do Sabiá,Uberlândia,MG
parque_do_sabia,Parque do Sabiá,Uberlândia,MG
estadio_do_governo_do_estado_de_goias_serra_dourada,Serra Dourada,Goiânia,GO
estadio_serra_dourada,Serra Dourada,Goiânia,GO
serra_dourada,Serra Dourada,Goiânia,GO
campos_maia,Estádio José Maria de Campos Maia,Mirassol,SP
estadio_raimundo_sampaio,Independência,Belo Horizonte,MG
estadio_independencia,Independência,Belo Horizonte,MG
independencia,Independência,Belo Horizonte,MG
